FlightDate,FlightTime,Airport,FlightRange,BagNumber,MaxSpendingRange,DropOffRange
1983-05-04,13:50:27,LAX,2.5,1.0,68,0.8
1982-09-19,18:01:34,LAX,5.0,1.3,90,0.2
1972-03-05,06:50:56,ONT,27.5,0.0,90,1.9
1993-11-22,14:03:28,ONT,50.0,1.1,40,0.1
1999-01-16,04:35:49,ONT,27.5,1.5,73,0.8
1978-04-03,17:54:45,LAX,45.0,0.1,22,2.0
2004-03-29,11:10:45,LAX,40.0,0.4,90,2.0
2018-06-01,03:02:37,LAX,7.5,1.9,72,1.2
2009-06-09,06:18:48,ONT,15.0,0.6,74,1.5
2004-08-28,13:48:30,ONT,20.0,0.9,63,1.1
1981-03-24,00:10:27,LAX,17.5,1.3,83,1.8
1979-08-11,22:56:50,ONT,47.5,1.1,66,1.2
1980-08-03,23:45:30,ONT,35.0,0.1,31,1.3
1990-01-09,07:32:37,LAX,30.0,0.9,90,1.4
1993-11-06,10:24:29,LAX,25.0,0.8,46,1.5
1986-02-25,12:23:44,ONT,45.0,1.2,54,0.5
2007-04-23,09:56:05,ONT,17.5,0.5,77,1.4
2003-10-02,21:55:26,ONT,15.0,0.1,99,0.1
1995-05-14,18:26:15,LAX,37.5,0.1,54,1.4
1995-02-12,09:37:38,ONT,12.5,0.1,63,0.8
2020-10-21,23:35:51,ONT,30.0,0.1,80,0.4
2023-09-30,16:56:20,ONT,27.5,0.1,75,0.3
2005-06-12,11:59:43,LAX,10.0,0.7,78,0.5
1990-09-03,01:32:11,LAX,37.5,0.0,25,0.6
2008-09-29,03:12:20,ONT,37.5,1.4,100,0.0
1990-06-19,20:29:12,LAX,12.5,0.6,52,1.2
1978-08-09,05:01:19,ONT,27.5,0.6,27,1.3
2009-08-19,15:19:16,ONT,32.5,1.7,93,1.7
1974-03-09,09:40:59,ONT,20.0,0.8,57,1.9
1979-01-10,09:18:40,ONT,50.0,1.7,71,1.6
1975-11-22,21:41:32,ONT,35.0,1.0,55,1.4
1972-12-30,01:13:50,ONT,42.5,0.2,77,0.5
1977-08-21,06:25:43,ONT,2.5,0.3,64,0.5
2017-12-09,08:22:16,ONT,25.0,0.5,68,1.7
1976-10-05,01:41:57,LAX,22.5,0.2,55,1.4
1983-08-10,11:45:31,ONT,17.5,1.4,67,1.6
2010-02-23,10:16:57,ONT,7.5,1.8,63,2.0
1990-02-21,09:00:58,LAX,30.0,0.8,81,0.1
1997-06-26,23:09:19,ONT,17.5,1.3,75,1.3
1970-12-02,11:28:53,LAX,22.5,1.7,53,0.1
2016-12-19,13:12:20,ONT,7.5,0.8,52,1.6
1988-09-05,02:33:45,ONT,20.0,0.8,80,0.1
1992-09-23,18:50:18,LAX,10.0,1.5,43,1.1
2007-10-18,05:47:13,ONT,47.5,0.4,33,1.6
2002-08-12,02:19:30,LAX,42.5,0.9,73,1.2
2004-06-08,23:57:25,LAX,25.0,0.0,60,0.4
2010-08-01,01:33:32,LAX,17.5,0.6,87,0.3
1970-05-21,11:32:28,LAX,42.5,1.6,39,0.8
1972-07-11,16:19:38,LAX,40.0,1.7,25,0.0
1977-11-18,16:14:33,LAX,37.5,0.5,93,0.1
1971-06-13,22:48:53,LAX,40.0,0.9,22,2.0
1990-01-07,02:27:32,LAX,30.0,0.1,45,1.7
1989-01-06,20:47:15,ONT,12.5,0.2,50,0.6
2002-10-21,17:00:32,LAX,5.0,1.2,51,1.5
1971-08-25,14:30:55,ONT,5.0,1.9,71,0.3
1970-05-24,07:42:12,LAX,2.5,0.3,100,0.2
2015-09-30,06:53:46,LAX,27.5,1.2,49,1.0
1972-01-23,21:01:49,LAX,12.5,0.6,22,1.9
1976-10-04,01:51:37,ONT,30.0,0.6,29,0.7
2007-12-24,04:57:08,LAX,32.5,0.7,80,1.4
2005-08-02,00:41:56,ONT,10.0,0.8,68,1.7
1974-06-15,10:41:11,ONT,10.0,1.0,90,0.9
2020-08-14,18:00:57,ONT,15.0,0.3,99,1.1
1987-02-06,05:06:05,ONT,37.5,0.3,77,0.9
1970-12-31,17:44:19,ONT,42.5,0.8,73,1.4
2000-07-31,22:38:16,LAX,25.0,1.9,63,0.7
2014-05-24,04:24:37,ONT,47.5,0.1,87,1.3
2021-04-13,02:29:21,LAX,47.5,0.8,56,0.8
1972-12-17,12:40:49,ONT,50.0,0.1,47,0.9
1990-10-19,08:20:32,LAX,27.5,0.8,93,0.3
1979-03-11,19:03:43,ONT,7.5,0.7,83,0.2
1993-06-26,06:50:15,ONT,37.5,0.2,77,0.9
1988-12-08,03:29:25,ONT,37.5,1.9,80,0.0
2000-11-06,16:51:40,ONT,27.5,0.6,99,0.0
2013-03-29,12:35:57,ONT,22.5,0.9,77,0.5
1995-09-26,02:09:46,ONT,17.5,0.7,99,1.7
1996-07-11,20:59:50,ONT,45.0,0.7,59,1.1
2009-01-16,17:32:28,LAX,10.0,0.2,42,1.4
1997-12-09,22:52:43,ONT,12.5,1.6,34,1.0
1992-02-11,20:35:53,ONT,32.5,1.9,97,0.2
2014-01-02,15:52:12,LAX,7.5,1.3,62,0.0
2005-02-08,11:11:30,LAX,10.0,1.3,60,1.3
2005-12-24,09:42:42,LAX,35.0,0.1,87,0.5
1993-05-29,21:35:17,LAX,25.0,0.9,80,1.7
1981-01-31,07:11:41,ONT,30.0,0.6,81,1.1
1993-06-13,19:02:17,ONT,40.0,0.8,41,0.7
2013-09-25,03:40:22,LAX,2.5,1.0,29,0.1
2015-04-11,20:07:09,ONT,40.0,0.8,59,0.1
2002-03-01,04:52:49,LAX,22.5,0.4,100,1.5
1985-05-08,05:25:02,ONT,42.5,0.2,91,0.1
1996-08-09,14:33:10,ONT,45.0,1.1,38,1.2
2017-08-04,11:26:25,ONT,10.0,0.1,100,1.8
2000-04-16,15:23:30,LAX,37.5,0.5,60,0.9
1996-02-03,06:24:22,LAX,45.0,1.4,93,0.7
2015-03-17,20:54:22,ONT,5.0,0.9,99,0.1
2013-12-27,00:12:18,LAX,32.5,0.3,72,0.1
1978-04-10,18:06:13,ONT,30.0,0.7,88,1.9
1991-11-23,09:37:43,LAX,7.5,0.1,20,1.3
2000-09-14,22:17:03,ONT,5.0,1.8,65,0.0
2005-03-21,09:19:12,LAX,35.0,0.1,93,0.4
2011-08-24,16:54:00,ONT,10.0,0.8,74,0.8
2022-05-13,16:40:41,LAX,25.0,1.1,95,1.7
2008-04-17,18:45:20,LAX,2.5,1.1,84,1.1
2017-06-09,01:19:30,LAX,22.5,0.8,30,0.7
1994-01-05,19:41:52,ONT,2.5,1.3,73,1.6
2022-06-30,08:38:45,ONT,45.0,0.5,64,0.7
2007-07-01,07:17:11,ONT,20.0,0.8,81,1.2
1999-08-03,11:41:41,LAX,17.5,0.8,91,1.4
1992-11-17,19:49:09,LAX,47.5,0.0,36,1.2
1977-10-27,12:44:33,LAX,47.5,0.2,80,0.6
2022-10-08,04:31:31,ONT,7.5,0.0,28,1.6
2005-08-12,19:35:23,ONT,20.0,1.0,33,1.9
1995-10-08,21:37:23,LAX,22.5,1.9,20,1.4
1998-05-24,20:33:48,ONT,17.5,0.0,90,0.9
1981-12-25,08:50:14,ONT,20.0,0.9,89,0.5
1972-07-26,17:14:07,LAX,7.5,1.9,89,1.0
2012-11-30,09:34:28,ONT,50.0,0.6,43,0.9
2001-11-22,02:38:49,ONT,27.5,0.4,77,0.9
1972-03-05,05:12:23,ONT,10.0,1.7,46,0.1
1992-08-17,17:12:13,ONT,37.5,1.0,50,0.2
2005-02-09,03:33:13,ONT,7.5,0.0,70,1.1
1980-05-25,00:56:28,LAX,40.0,0.0,85,0.4
1990-12-04,10:10:41,ONT,2.5,0.9,69,1.0
1999-09-05,09:45:37,ONT,47.5,0.5,57,1.9
2016-06-29,07:51:34,LAX,47.5,0.2,40,1.3
2016-12-27,06:16:20,LAX,25.0,1.3,21,0.3
1993-05-07,06:13:27,ONT,7.5,0.3,35,1.9
2009-04-26,03:16:29,ONT,35.0,0.7,37,1.2
2002-10-20,10:21:56,ONT,40.0,0.8,47,1.9
1986-12-13,11:32:42,ONT,17.5,0.9,76,0.2
1998-06-02,05:57:25,LAX,42.5,0.4,60,1.8
2022-10-15,15:50:47,LAX,17.5,1.5,59,0.4
2023-06-15,18:29:40,LAX,2.5,0.3,54,0.5
2000-08-04,00:34:06,ONT,2.5,1.5,37,2.0
2024-11-08,05:50:39,LAX,50.0,1.5,76,0.5
2008-01-02,12:06:01,ONT,2.5,0.8,59,1.5
2004-02-23,03:20:04,LAX,50.0,0.0,77,0.6
2021-02-22,23:09:10,LAX,37.5,1.7,82,2.0
2016-10-16,17:44:57,ONT,17.5,0.2,64,1.0
1981-07-21,23:57:02,LAX,50.0,1.2,80,0.4
1977-12-20,21:29:44,LAX,20.0,0.2,62,1.6
1986-10-03,20:44:11,LAX,25.0,1.6,37,1.6
2003-09-12,10:53:53,ONT,5.0,1.5,86,1.9
2002-08-12,12:51:35,ONT,42.5,1.1,28,1.2
1993-11-16,08:57:38,ONT,27.5,0.2,91,1.2
1999-02-26,15:45:00,ONT,2.5,0.7,28,0.3
2015-01-27,13:11:50,LAX,40.0,1.5,84,1.6
1992-12-23,01:51:41,LAX,2.5,0.2,88,1.3
1998-03-26,06:47:56,ONT,7.5,0.3,74,1.9
1970-07-05,04:45:46,LAX,25.0,0.9,59,0.3
1975-11-27,23:30:48,LAX,37.5,1.0,33,1.2
1985-03-09,18:31:28,LAX,45.0,0.2,25,0.5
1994-06-22,21:08:30,ONT,45.0,0.6,80,1.2
1973-02-26,15:12:32,ONT,15.0,1.7,54,1.3
1997-01-08,23:50:07,LAX,2.5,0.2,78,1.6
2015-02-02,13:49:55,LAX,37.5,1.9,93,1.5
2016-08-23,13:03:45,LAX,30.0,0.1,84,1.1
1985-12-04,02:28:40,ONT,50.0,0.2,72,1.9
2002-03-22,10:02:34,ONT,30.0,1.1,34,0.6
1981-10-21,12:01:03,LAX,17.5,1.5,71,0.0
1980-08-04,08:33:51,ONT,10.0,0.6,95,1.5
2011-11-10,07:16:00,ONT,20.0,0.6,36,1.5
2013-02-09,23:42:47,LAX,42.5,1.4,96,1.1
1972-09-08,06:12:54,ONT,32.5,0.0,95,1.3
2023-11-19,09:21:07,LAX,17.5,0.3,96,1.6
2014-08-13,08:23:07,LAX,2.5,1.7,73,2.0
1986-12-13,01:28:52,LAX,30.0,0.8,86,1.2
1984-12-11,15:14:46,LAX,42.5,1.3,38,1.6
1993-07-24,18:53:36,ONT,2.5,1.8,32,1.1
1985-01-17,02:09:16,LAX,20.0,1.5,61,0.4
1990-12-09,14:22:05,LAX,40.0,0.4,52,1.0
2014-03-26,15:46:30,LAX,37.5,0.5,73,1.4
1976-12-28,23:37:26,LAX,40.0,0.7,66,1.6
1975-09-03,22:36:52,LAX,20.0,1.5,86,1.0
2016-11-16,11:16:29,LAX,7.5,0.6,67,1.5
2021-01-11,15:33:39,ONT,37.5,1.8,98,1.7
2021-12-30,20:11:13,LAX,25.0,0.9,99,1.5
1992-03-17,19:31:34,ONT,50.0,1.5,66,1.7
1980-03-20,23:37:45,LAX,25.0,1.6,98,1.5
2017-08-15,09:25:15,LAX,5.0,0.2,85,0.3
2009-02-18,01:08:49,ONT,10.0,1.7,22,1.0
2013-11-20,20:27:05,LAX,20.0,1.3,90,0.5
1981-10-31,21:01:42,LAX,50.0,0.3,38,1.9
2022-06-12,08:13:09,ONT,30.0,1.0,90,1.7
2020-09-22,04:48:07,ONT,42.5,1.6,62,0.9
1985-03-27,03:33:47,LAX,22.5,0.6,49,0.0
1986-09-13,18:20:54,ONT,42.5,1.4,46,1.7
2024-04-25,10:59:40,ONT,35.0,0.3,82,0.2
2003-09-21,21:14:59,ONT,25.0,1.1,76,0.2
2021-08-21,20:07:39,LAX,7.5,0.6,32,1.6
1996-08-21,00:43:26,LAX,37.5,0.7,78,1.8
