FlightDate,FlightTime,Airport,MinWaitTime,MaxWaitTime,BagNumber,MaxSpendingRange,DropOffRange
01/18/2025,02:51:13,LAX,0.25,4.75,1,15,1.0
03/16/2024,14:25:18,LAX,0.5,4.25,1,10,0.3
01/19/2025,10:20:14,LAX,1.0,4.0,4,30,1.0
03/17/2024,09:55:31,ONT,1.0,3.75,3,40,0.9
12/11/2024,20:57:01,LAX,1.75,3.25,3,15,0.3
12/11/2024,23:20:40,LAX,0.5,3.5,2,40,0.8
11/30/2024,15:09:31,ONT,0.25,4.75,1,10,0.8
12/13/2024,04:01:56,LAX,1.25,4.5,1,40,0.4
12/13/2024,11:05:23,LAX,0.5,2.0,3,40,0.2
12/11/2024,00:27:35,LAX,1.0,2.25,0,25,0.2
03/14/2024,01:54:26,LAX,1.5,3.25,3,20,0.1
01/19/2025,17:03:44,LAX,1.0,2.5,2,20,0.5
12/12/2024,22:15:05,ONT,0.25,2.75,0,100,0.7
12/11/2024,09:03:30,ONT,1.25,2.25,4,30,0.6
11/30/2024,07:13:42,LAX,2.0,3.5,0,90,1.0
12/11/2024,20:52:11,LAX,1.25,2.5,2,30,0.9
11/30/2024,21:00:33,ONT,1.75,3.25,2,15,1.0
11/30/2024,17:07:06,LAX,0.25,2.25,2,15,0.1
12/11/2024,08:47:42,LAX,1.75,3.5,2,25,0.6
12/11/2024,14:56:37,LAX,0.5,4.5,1,100,0.5
03/16/2024,00:16:17,ONT,0.5,3.0,1,25,1.0
12/11/2024,02:43:46,ONT,0.75,4.0,2,90,1.0
03/20/2024,01:00:12,LAX,0.75,3.25,1,80,0.8
12/11/2024,16:13:08,ONT,2.0,2.0,1,20,0.6
03/15/2024,04:12:52,LAX,0.25,2.75,4,45,0.8
01/18/2025,21:31:20,ONT,0.5,5.0,2,15,0.0
11/30/2024,22:05:55,ONT,0.75,3.0,2,30,0.5
12/13/2024,07:34:27,LAX,1.0,4.75,1,35,0.9
12/12/2024,01:02:35,ONT,2.0,2.25,2,10,1.0
03/18/2024,05:18:25,LAX,1.0,4.25,2,10,1.0
01/19/2025,11:21:17,LAX,0.5,2.0,3,45,0.3
11/30/2024,18:19:56,ONT,2.0,2.75,2,35,0.9
03/15/2024,20:19:01,LAX,2.0,5.0,1,10,0.5
03/18/2024,08:44:29,ONT,1.5,3.5,1,40,0.8
03/15/2024,00:05:58,LAX,0.25,3.5,2,40,0.1
11/30/2024,05:08:44,LAX,1.0,2.75,1,15,1.0
11/30/2024,21:45:31,LAX,1.25,3.75,3,10,0.6
03/22/2024,14:05:20,LAX,0.25,4.5,2,40,0.4
11/30/2024,01:27:00,LAX,0.75,3.5,2,15,0.0
12/13/2024,01:09:21,LAX,0.75,3.5,2,25,0.8
11/30/2024,02:30:37,ONT,1.25,3.5,1,35,0.5
03/14/2024,09:05:11,LAX,1.0,3.0,3,10,0.7
01/19/2025,02:23:06,ONT,0.25,2.0,2,30,0.4
01/19/2025,03:38:46,LAX,0.5,2.5,1,10,0.8
03/21/2024,10:29:44,ONT,0.5,4.25,1,30,0.4
12/11/2024,04:07:49,LAX,1.75,4.5,1,30,0.3
12/13/2024,23:47:06,ONT,1.0,4.5,1,15,0.8
12/12/2024,19:06:11,ONT,0.75,4.5,3,25,0.0
03/22/2024,17:22:14,LAX,0.25,3.75,3,30,0.1
03/16/2024,15:25:51,LAX,1.0,4.0,3,20,0.4
12/13/2024,18:58:12,LAX,1.5,3.0,1,40,0.9
12/13/2024,04:41:21,LAX,1.25,4.5,2,15,0.7
12/13/2024,09:28:54,LAX,0.5,4.75,3,20,0.8
12/13/2024,20:20:35,LAX,1.5,2.75,1,40,0.7
12/13/2024,10:10:54,ONT,1.25,2.0,3,25,0.8
12/13/2024,22:19:22,LAX,0.25,3.25,2,90,0.3
03/20/2024,01:54:36,LAX,2.0,4.0,2,30,0.3
03/19/2024,09:55:14,LAX,0.5,4.75,1,80,1.0
12/12/2024,14:44:48,ONT,0.75,3.5,1,20,0.8
03/17/2024,03:45:04,LAX,1.5,2.75,3,35,0.1
01/19/2025,03:16:45,ONT,1.75,4.25,3,15,0.3
11/30/2024,09:03:48,LAX,1.75,2.0,2,20,1.0
11/30/2024,03:39:45,LAX,1.25,2.5,2,45,0.0
12/11/2024,09:15:55,LAX,2.0,2.75,1,25,0.3
11/30/2024,23:52:53,ONT,1.0,2.75,1,15,0.8
12/12/2024,13:06:24,ONT,1.25,2.25,4,60,0.9
01/19/2025,03:32:09,ONT,1.5,2.0,1,20,0.7
12/12/2024,23:33:10,ONT,0.25,2.25,2,20,0.1
12/12/2024,08:04:09,ONT,0.5,3.5,0,55,0.6
01/19/2025,04:46:31,LAX,1.75,2.0,0,40,1.0
12/12/2024,07:55:00,ONT,1.75,2.25,3,65,0.0
12/11/2024,02:10:04,LAX,1.25,4.0,2,25,0.1
11/30/2024,10:32:33,ONT,1.25,4.0,3,25,0.7
12/11/2024,18:34:37,LAX,1.25,3.5,1,10,0.7
12/13/2024,10:44:21,ONT,1.0,3.5,2,85,0.7
11/30/2024,01:32:13,ONT,2.0,3.75,2,30,0.1
12/13/2024,08:54:11,LAX,0.5,3.0,0,35,0.0
01/18/2025,23:02:39,LAX,1.0,4.5,0,40,0.3
03/21/2024,11:56:17,LAX,0.25,2.0,4,25,0.3
11/30/2024,00:38:30,ONT,1.75,4.5,1,35,0.2
03/22/2024,16:40:29,ONT,1.75,2.75,2,35,0.4
11/30/2024,01:33:36,LAX,1.75,2.75,2,35,0.4
11/30/2024,18:07:12,LAX,1.0,2.25,1,40,0.8
11/30/2024,23:46:10,ONT,2.0,4.25,4,80,0.3
12/13/2024,08:09:33,ONT,0.75,4.75,2,75,0.9
01/18/2025,18:36:49,LAX,1.25,5.0,2,75,0.5
12/13/2024,00:12:56,ONT,2.0,2.25,4,15,0.8
01/19/2025,22:24:12,ONT,1.5,4.0,1,15,0.0
11/30/2024,16:35:22,ONT,0.75,4.75,2,25,0.2
11/30/2024,17:58:42,ONT,2.0,3.5,2,40,0.3
03/16/2024,12:07:04,ONT,0.25,5.0,2,25,0.9
11/30/2024,02:55:19,ONT,1.25,5.0,2,40,0.9
03/18/2024,16:29:25,LAX,2.0,2.75,1,25,0.9
01/19/2025,08:16:10,ONT,1.5,4.5,2,25,0.3
03/17/2024,02:10:42,ONT,0.75,4.25,3,25,0.4
03/18/2024,21:13:48,LAX,1.75,2.5,1,50,0.4
12/11/2024,04:43:09,ONT,1.75,3.25,1,20,0.1
12/13/2024,15:52:04,ONT,1.25,5.0,4,70,0.9
12/12/2024,10:38:23,LAX,2.0,2.0,1,10,0.3
03/21/2024,19:00:04,LAX,0.5,5.0,2,40,0.5
01/18/2025,02:50:51,LAX,1.0,2.0,3,15,0.5
12/13/2024,19:50:14,ONT,0.5,4.25,1,75,0.8
03/18/2024,20:21:02,ONT,0.75,4.25,3,35,1.0
11/30/2024,12:53:07,LAX,1.25,2.25,4,20,0.8
01/18/2025,13:23:03,ONT,1.0,2.25,3,40,0.2
03/15/2024,20:10:42,LAX,1.25,4.5,1,10,0.8
12/13/2024,07:34:44,ONT,1.75,4.5,4,30,0.3
11/30/2024,22:43:54,LAX,1.75,3.75,2,20,1.0
12/13/2024,08:57:53,LAX,1.75,2.5,3,35,0.4
12/12/2024,04:27:17,ONT,2.0,3.5,2,85,0.1
01/18/2025,22:05:39,ONT,1.0,2.25,3,25,0.0
12/13/2024,07:08:07,ONT,1.75,3.25,2,40,1.0
12/12/2024,05:43:49,LAX,2.0,2.75,4,20,0.7
03/15/2024,11:30:25,ONT,1.25,4.0,2,15,0.0
11/30/2024,02:05:41,LAX,1.75,3.75,1,15,0.2
01/19/2025,14:52:52,ONT,2.0,5.0,3,20,0.9
11/30/2024,15:13:46,ONT,1.0,3.0,3,20,0.0
11/30/2024,02:08:57,ONT,1.75,4.75,2,20,0.0
01/19/2025,11:44:20,ONT,1.25,3.0,1,35,0.3
01/19/2025,03:17:07,ONT,0.5,4.75,2,40,0.8
12/13/2024,04:43:44,LAX,1.0,4.75,2,35,0.9
12/13/2024,07:11:37,LAX,1.0,3.0,1,15,0.3
12/13/2024,06:38:25,LAX,0.75,3.0,2,10,0.2
12/13/2024,19:57:46,LAX,2.0,2.25,2,85,0.5
12/13/2024,19:06:51,ONT,2.0,3.75,1,10,1.0
03/15/2024,06:44:24,ONT,0.5,2.25,3,10,0.4
03/21/2024,10:57:39,LAX,0.75,5.0,4,20,0.6
01/18/2025,14:47:49,LAX,0.5,4.0,3,85,0.3
11/30/2024,21:25:35,ONT,2.0,3.75,3,30,0.5
01/18/2025,19:26:54,ONT,0.25,4.25,3,45,0.3
01/18/2025,16:59:04,LAX,1.25,4.5,2,15,0.6
11/30/2024,14:42:49,LAX,0.75,2.0,1,35,0.4
11/30/2024,17:38:33,ONT,0.25,2.75,2,20,1.0
01/18/2025,03:01:03,LAX,1.0,3.0,1,90,0.0
12/12/2024,12:55:35,ONT,0.5,4.0,3,15,0.2
12/11/2024,00:54:23,LAX,0.5,2.0,4,20,0.0
11/30/2024,08:52:40,ONT,0.5,3.75,3,35,0.5
11/30/2024,14:11:47,ONT,2.0,3.75,2,10,0.1
03/14/2024,04:29:24,ONT,1.25,2.0,0,35,0.4
11/30/2024,20:54:01,ONT,0.25,5.0,1,75,0.8
11/30/2024,02:39:56,ONT,0.75,4.25,2,40,1.0
03/22/2024,11:40:00,LAX,2.0,3.25,2,20,1.0
11/30/2024,04:38:42,LAX,1.5,3.5,2,20,1.0
03/18/2024,06:19:57,LAX,2.0,2.25,4,20,0.4
11/30/2024,08:53:30,ONT,0.25,4.5,1,75,0.5
11/30/2024,15:13:03,LAX,1.0,4.0,3,40,0.2
12/13/2024,19:37:20,ONT,0.25,2.75,1,15,0.6
01/19/2025,00:53:16,ONT,2.0,2.25,0,35,0.9
03/16/2024,05:34:02,LAX,1.25,4.0,2,25,0.0
01/19/2025,03:10:28,LAX,0.5,3.75,3,90,0.9
11/30/2024,06:03:04,ONT,1.25,4.0,3,25,0.7
01/19/2025,19:31:48,ONT,1.0,3.75,2,25,0.7
12/12/2024,19:35:08,LAX,0.5,3.0,1,70,0.2
11/30/2024,06:54:17,ONT,0.25,3.0,4,40,1.0
11/30/2024,01:05:13,LAX,2.0,4.0,0,20,0.3
11/30/2024,18:09:40,ONT,1.5,2.75,3,55,0.3
11/30/2024,20:09:54,LAX,1.75,2.0,3,25,0.7
12/12/2024,21:34:13,ONT,0.75,3.75,1,50,0.7
03/20/2024,01:07:58,LAX,2.0,2.25,0,25,0.3
11/30/2024,13:51:18,LAX,1.75,4.5,3,45,0.6
03/22/2024,17:48:33,ONT,1.5,4.25,2,35,0.0
11/30/2024,23:45:56,ONT,1.75,3.25,3,40,0.1
01/18/2025,10:13:00,LAX,0.5,2.75,1,20,0.8
03/18/2024,10:17:58,LAX,1.75,2.25,0,95,0.1
03/18/2024,02:16:06,ONT,0.75,4.75,3,10,1.0
01/19/2025,03:16:34,ONT,0.25,3.0,1,25,0.5
01/19/2025,03:11:32,LAX,1.75,4.25,3,15,0.9
01/19/2025,23:58:27,LAX,0.5,4.25,2,85,0.6
11/30/2024,14:43:27,ONT,0.75,2.75,2,20,0.2
01/19/2025,09:52:37,ONT,0.25,5.0,2,20,0.4
11/30/2024,16:17:41,LAX,2.0,3.25,3,60,0.4
11/30/2024,04:31:59,ONT,2.0,3.0,4,25,1.0
12/11/2024,14:15:50,LAX,1.0,3.5,3,30,0.4
03/14/2024,07:08:31,ONT,0.25,4.5,3,10,0.8
12/13/2024,01:02:39,ONT,1.25,5.0,3,85,0.6
01/18/2025,08:38:15,LAX,1.0,4.25,2,40,0.1
12/12/2024,15:38:09,LAX,0.25,3.0,2,40,0.7
01/18/2025,05:00:29,LAX,0.5,3.0,3,25,0.6
12/13/2024,09:55:37,LAX,0.75,5.0,2,20,0.0
12/12/2024,20:52:44,LAX,1.25,3.75,0,60,0.6
11/30/2024,14:33:03,LAX,2.0,2.25,2,15,0.4
03/18/2024,12:29:42,ONT,0.5,5.0,2,20,0.6
11/30/2024,04:51:18,ONT,1.5,4.5,2,20,0.9
12/12/2024,19:46:16,ONT,0.5,4.5,2,10,0.4
12/13/2024,08:13:22,LAX,0.5,4.5,2,95,0.5
12/13/2024,14:39:45,ONT,0.5,2.5,0,10,0.2
01/19/2025,00:58:41,ONT,0.5,2.25,4,30,0.9
11/30/2024,00:22:11,ONT,2.0,3.25,3,35,0.9
11/30/2024,03:13:44,LAX,1.75,4.5,0,25,1.0
11/30/2024,15:51:00,ONT,0.25,4.75,2,25,0.2
12/12/2024,22:59:28,LAX,1.5,2.25,3,65,0.3
11/30/2024,16:08:21,LAX,1.75,3.0,2,10,0.6
03/16/2024,03:47:52,LAX,1.0,4.5,3,10,0.6
03/20/2024,06:32:05,ONT,1.0,2.5,3,55,0.0
03/16/2024,23:05:22,LAX,1.0,2.75,4,15,0.5
01/18/2025,07:05:24,ONT,0.75,2.5,4,40,1.0
01/18/2025,08:11:04,LAX,0.25,2.5,2,40,0.3
11/30/2024,03:23:57,ONT,0.25,2.5,4,15,0.2
03/19/2024,07:08:17,LAX,0.5,3.75,2,20,0.1
12/13/2024,13:55:08,ONT,1.0,4.25,2,40,0.4
11/30/2024,23:54:52,ONT,0.25,2.0,2,70,0.9
03/22/2024,19:35:13,LAX,2.0,4.75,3,45,0.2
12/13/2024,14:52:45,ONT,0.75,2.25,1,30,0.0
03/17/2024,12:46:44,ONT,1.25,3.75,1,25,0.6
11/30/2024,21:08:46,LAX,1.0,3.5,0,15,0.1
12/11/2024,09:41:25,ONT,2.0,3.5,3,10,0.3
11/30/2024,07:41:32,ONT,1.5,4.5,3,15,1.0
12/13/2024,19:16:45,LAX,0.5,2.25,1,10,0.9
12/12/2024,18:59:44,LAX,0.25,4.25,2,80,0.6
11/30/2024,10:46:39,LAX,1.75,3.25,0,100,1.0
01/18/2025,02:24:36,LAX,1.25,4.25,0,10,0.7
12/13/2024,04:05:26,LAX,2.0,2.75,2,65,1.0
03/17/2024,14:11:49,LAX,1.25,4.25,1,25,0.2
12/11/2024,07:50:02,ONT,0.25,2.5,1,40,1.0
11/30/2024,19:13:54,ONT,1.5,2.0,1,15,0.8
03/16/2024,14:12:34,LAX,0.75,4.75,2,10,0.9
12/11/2024,18:47:37,LAX,1.75,3.5,1,15,0.1
03/19/2024,09:54:41,ONT,1.5,5.0,1,85,0.7
03/14/2024,05:54:17,LAX,0.75,2.5,1,40,0.5
11/30/2024,15:01:40,ONT,2.0,4.5,4,30,0.2
12/12/2024,23:29:57,ONT,1.25,2.75,2,45,0.4
11/30/2024,08:52:56,ONT,0.5,3.0,2,30,0.4
03/14/2024,15:50:56,ONT,0.25,2.75,2,30,0.3
01/19/2025,14:08:36,LAX,1.0,3.0,2,100,0.7
11/30/2024,12:21:51,ONT,1.25,3.25,3,25,0.7
12/11/2024,14:25:45,LAX,0.75,3.5,0,15,0.0
11/30/2024,20:29:56,LAX,1.75,4.75,4,10,0.3
11/30/2024,05:50:21,LAX,1.5,4.25,3,25,0.7
01/18/2025,02:31:39,ONT,0.5,3.5,3,20,0.8
01/18/2025,01:48:21,ONT,1.5,2.25,0,10,0.4
12/11/2024,23:23:08,ONT,1.75,4.0,0,40,0.3
03/15/2024,15:52:14,ONT,1.0,3.25,1,45,0.2
01/19/2025,09:26:07,LAX,1.5,3.25,2,40,0.4
01/19/2025,04:21:46,LAX,0.5,2.5,2,15,0.8
11/30/2024,20:38:06,LAX,0.75,5.0,2,25,0.3
11/30/2024,17:46:05,ONT,1.5,2.5,2,25,0.4
03/14/2024,12:40:58,ONT,1.25,4.25,1,30,0.4
12/13/2024,18:25:55,ONT,2.0,3.75,3,20,0.4
11/30/2024,13:25:26,LAX,0.5,4.25,1,25,0.7
12/12/2024,05:20:16,LAX,2.0,5.0,2,15,0.4
12/13/2024,21:49:23,ONT,0.75,2.0,2,40,0.2
11/30/2024,20:41:38,LAX,0.75,2.0,3,25,0.7
11/30/2024,10:43:07,LAX,1.5,3.25,3,70,0.7
03/15/2024,17:22:08,ONT,0.25,5.0,1,20,0.0
12/11/2024,08:58:03,ONT,0.5,4.0,2,20,0.4
12/13/2024,15:22:13,LAX,1.5,2.25,2,15,0.8
12/11/2024,08:48:28,ONT,1.75,2.5,0,10,0.9
03/22/2024,15:22:39,ONT,1.5,2.5,1,40,0.7
01/19/2025,15:45:06,ONT,1.5,2.0,0,15,0.9
01/18/2025,09:36:03,ONT,2.0,2.75,2,15,0.9
03/22/2024,21:31:26,LAX,1.25,5.0,2,40,0.1
01/18/2025,15:37:24,ONT,0.75,4.25,2,15,0.3
01/18/2025,01:48:22,LAX,2.0,2.0,3,35,0.3
01/18/2025,22:54:10,ONT,1.25,5.0,3,25,0.0
12/11/2024,00:16:17,LAX,1.25,5.0,2,55,0.7
11/30/2024,23:05:45,ONT,2.0,5.0,2,25,0.4
12/11/2024,15:36:48,LAX,1.0,5.0,3,40,1.0
03/19/2024,16:01:18,LAX,2.0,3.25,1,10,1.0
01/18/2025,04:48:02,ONT,0.5,5.0,2,25,0.3
03/15/2024,09:43:38,ONT,0.5,2.75,1,65,1.0
11/30/2024,21:50:50,ONT,0.25,3.5,2,15,0.2
12/12/2024,02:12:58,LAX,1.5,2.75,3,10,0.4
