latitude,longitude,datetime_sin,datetime_cos,ElapsedTime,MinWaitTime,MaxWaitTime,BagNumber,MaxSpendingRange,DropOffRange,cluster,Cluster,BagNumber_actual,ClusterBagSum
0.0,0.0,99.97345264848303,124.90369976167175,124.45745682469236,0.0,0.9166666666666666,0.2,0.0555555555555555,1.0,1,187,0.2,4.800000000000001
0.0,0.0,110.37607142903073,124.54973688043886,1.1732843950114844,0.1428571428571428,0.7499999999999999,0.8,0.0,0.4,2,212,0.8,4.800000000000001
0.0,0.0,99.51463329828971,124.87496309484578,124.38177900741864,0.4285714285714285,0.6666666666666666,0.4,0.2222222222222222,0.2,1,110,0.4,4.800000000000001
8.0,8.0,107.5560109542014,124.83610207428026,0.7078101733244495,0.4285714285714285,0.5833333333333334,0.8,0.3333333333333333,0.8,2,222,0.8,4.800000000000001
0.0,0.0,17.278621267381688,47.715631360808004,109.22034041662866,0.8571428571428572,0.4166666666666666,0.4,0.0555555555555555,0.6,3,725,0.4,4.800000000000001
0.0,0.0,17.626245083551527,48.4703239121873,109.3018610065595,0.1428571428571428,0.4999999999999999,0.8,0.3333333333333333,0.1,3,445,0.8,4.800000000000001
8.0,8.0,0.7031127435438476,2.4650826272348243,104.78957115161606,0.0,0.9166666666666666,0.2,0.0,0.8,0,799,0.2,4.800000000000001
0.0,0.0,17.5347504917127,48.272287988330724,109.2804375068166,0.5714285714285714,0.8333333333333334,0.2,0.3333333333333333,0.8,3,799,0.2,4.800000000000001
0.0,0.0,20.72156158455366,54.92757528566452,110.01356636165539,0.1428571428571428,0.0,0.0,0.3333333333333333,1.0,3,841,0.0,2.8000000000000003
0.0,0.0,16.492666371249353,45.9862533631411,109.0347628279465,0.4285714285714285,0.0833333333333333,0.6000000000000001,0.1666666666666666,0.6,3,627,0.6000000000000001,4.800000000000001
0.0,0.0,111.75864607511369,124.3574281271055,1.4017089831794873,0.7142857142857142,0.4166666666666666,0.6000000000000001,0.1111111111111111,0.9,2,291,0.6000000000000001,4.800000000000001
0.0,0.0,99.25319758245826,124.85691193061662,124.33865378066344,0.4285714285714285,0.1666666666666666,0.2,0.1111111111111111,0.0,1,195,0.2,4.800000000000001
8.0,8.0,18.853610651775845,51.086272454770096,109.58704395768277,0.0,0.25,0.2,1.0,0.6,3,799,0.2,4.800000000000001
8.0,8.0,17.509814670453164,48.21824150024103,109.27459473415942,0.5714285714285714,0.0833333333333333,0.4,0.2222222222222222,0.2,3,689,0.4,4.800000000000001
0.0,0.0,0.26458232424198697,0.9348802731263495,104.65157042599935,1.0,0.4999999999999999,0.2,0.8888888888888888,0.5,0,800,0.2,4.800000000000001
0.0,0.0,17.05160948231545,47.21943334576214,109.16692078090604,0.5714285714285714,0.1666666666666666,0.4,0.2222222222222222,0.6,3,688,0.4,4.800000000000001
8.0,8.0,0.8911624336161126,3.11404930210895,104.84827710545704,0.8571428571428572,0.4166666666666666,0.4,0.0555555555555555,0.5,0,688,0.4,4.800000000000001
0.0,0.0,0.025327036772687002,0.089877271634475,104.57561438145626,0.0,0.0833333333333333,0.2,0.0555555555555555,0.0,0,800,0.2,4.800000000000001
0.0,0.0,20.596087477238953,54.674666763730485,109.98518718017776,0.8571428571428572,0.4999999999999999,0.2,0.1666666666666666,0.1,3,799,0.2,4.800000000000001
0.0,0.0,19.649460019326973,52.74306499472213,109.76983927367104,0.1428571428571428,0.8333333333333334,0.6000000000000001,1.0,0.1,3,621,0.6000000000000001,4.800000000000001
8.0,8.0,121.37844204945631,122.0650707433596,2.997898827661575,0.1428571428571428,0.3333333333333333,0.4,0.1666666666666666,1.0,2,332,0.4,4.800000000000001
8.0,8.0,16.622940604084924,46.27514117352382,109.0656460548486,0.2857142857142857,0.6666666666666666,0.4,0.8888888888888888,0.9,3,691,0.4,4.800000000000001
0.0,0.0,105.17063457870731,124.96766052957602,0.31439681440905,0.2857142857142857,0.4166666666666666,0.4,0.7777777777777778,0.1,2,330,0.4,4.800000000000001
8.0,8.0,21.045862217366565,55.57790785027454,110.08674013350459,1.0,0.0,0.2,0.1111111111111111,0.3,3,798,0.2,4.800000000000001
0.0,0.0,109.09369624719432,124.69755390880506,0.9615534430068124,0.0,0.25,0.4,0.3888888888888889,0.1,2,331,0.4,4.800000000000001
8.0,8.0,99.7997025962909,124.89325854476039,124.42879941594533,0.1428571428571428,1.0,0.4,0.0555555555555555,0.6,1,152,0.4,4.800000000000001
8.0,8.0,1.0038827162658994,3.5010149590090878,104.8833337414,0.2857142857142857,0.3333333333333333,0.2,0.2222222222222222,1.0,0,798,0.2,4.800000000000001
0.0,0.0,18.4997811211002,50.33980803228849,109.50524514048253,0.4285714285714285,0.9166666666666666,0.4,0.2777777777777778,0.5,3,690,0.4,4.800000000000001
8.0,8.0,17.661919216003675,48.54742350229718,109.31020782464118,1.0,0.0833333333333333,0.0,0.0,1.0,3,841,0.0,2.8000000000000003
0.0,0.0,121.935498320612,121.88067048525697,3.09082673563735,0.4285714285714285,0.7499999999999999,0.2,0.0,1.0,2,393,0.2,4.800000000000001
0.0,0.0,102.47231929396119,124.99442905098462,124.86951141065681,0.1428571428571428,0.0,0.2,0.3888888888888889,0.9,1,195,0.2,4.800000000000001
8.0,8.0,0.49384041801818745,1.737816748686975,104.72390951604035,1.0,0.25,0.4,0.2777777777777778,0.8,0,690,0.4,4.800000000000001
0.0,0.0,114.38919158882683,123.89686783855484,1.836856432503175,1.0,1.0,0.2,0.0,0.7,2,399,0.2,4.800000000000001
8.0,8.0,122.7553266823451,121.59887142036679,3.2277145521765127,0.7142857142857142,0.4999999999999999,1.0,0.3333333333333333,1.0,2,210,1.0,5.0
0.0,0.0,122.82860028518829,121.57308020906387,3.2399565520296125,0.0,0.4999999999999999,0.6000000000000001,0.3333333333333333,0.3,2,285,0.6000000000000001,4.800000000000001
0.0,0.0,1.0899779820928726,3.795559453720612,104.9100435592613,0.4285714285714285,0.25,0.6000000000000001,0.0555555555555555,0.0,0,618,0.6000000000000001,4.800000000000001
0.0,0.0,0.9349603454885249,3.2645865988738496,104.86191024165706,0.5714285714285714,0.5833333333333334,0.2,0.0,0.5,0,801,0.2,4.800000000000001
0.0,0.0,108.92850357305045,124.71446022098513,0.9342871706067251,0.0,0.8333333333333334,0.4,0.3333333333333333,0.1,2,330,0.4,4.800000000000001
0.0,0.0,0.0192120591571375,0.06818477643385,104.57366679057054,0.2857142857142857,0.4999999999999999,0.6000000000000001,0.0555555555555555,0.5,0,618,0.6000000000000001,4.800000000000001
0.0,0.0,18.23115822762489,49.76898099224,109.4429222321395,0.2857142857142857,0.4999999999999999,0.2,0.1666666666666666,0.7,3,801,0.2,4.800000000000001
8.0,8.0,0.8019281313113125,2.80663063430475,104.8204543785182,0.5714285714285714,0.4999999999999999,0.6000000000000001,0.2777777777777778,0.7,0,618,0.6000000000000001,4.800000000000001
0.0,0.0,110.05765358377633,124.58918231706511,1.1206994410970474,0.4285714285714285,0.3333333333333333,0.6000000000000001,0.0,0.2,2,306,0.6000000000000001,4.800000000000001
8.0,8.0,101.99644642909361,124.9857156350588,124.7910513206892,0.0,0.0,0.2,0.2222222222222222,0.8,1,195,0.2,4.800000000000001
0.0,0.0,102.75244926767982,124.99767474994904,124.9156971373753,0.1428571428571428,0.1666666666666666,0.2,0.0,0.9,1,195,0.2,4.800000000000001
8.0,8.0,113.56051283341705,124.05537133485436,1.6996903886946124,0.1428571428571428,0.7499999999999999,0.8,0.2222222222222222,0.6,2,236,0.8,4.6000000000000005
0.0,0.0,18.6332017623287,50.62200327649526,109.53612836738465,0.8571428571428572,0.8333333333333334,0.6000000000000001,0.2222222222222222,0.2,3,619,0.6000000000000001,4.800000000000001
8.0,8.0,19.821181090116784,53.09658243322515,109.80906931865482,0.4285714285714285,0.8333333333333334,0.8,0.0555555555555555,0.1,3,474,0.8,4.800000000000001
8.0,8.0,16.669937466262564,46.379138450341586,109.07677514562417,0.2857142857142857,0.8333333333333334,0.2,0.1666666666666666,0.1,3,801,0.2,4.800000000000001
0.0,0.0,124.6280651424976,120.90842715608471,3.540998457508013,0.0,0.5833333333333334,0.2,0.2222222222222222,0.2,2,388,0.2,4.800000000000001
0.0,0.0,104.33029771046034,124.98988382381064,0.17583963425354998,0.4285714285714285,0.6666666666666666,0.4,0.1111111111111111,0.9,2,324,0.4,4.800000000000001
0.0,0.0,18.70299819702294,50.769279730898816,109.5522655490092,0.7142857142857142,0.3333333333333333,0.4,0.3333333333333333,0.6,3,688,0.4,4.800000000000001
0.0,0.0,17.09176424149915,47.3073970419782,109.17638050806525,0.5714285714285714,0.8333333333333334,0.6000000000000001,0.0555555555555555,0.8,3,620,0.6000000000000001,4.800000000000001
0.0,0.0,20.799144223378,55.08359148111862,110.03109467962686,0.1428571428571428,0.9166666666666666,0.4,0.1111111111111111,0.0,3,686,0.4,4.800000000000001
0.0,0.0,20.501478240318853,54.4834913041621,109.96376368043484,0.7142857142857142,0.25,0.6000000000000001,0.3333333333333333,0.1,3,625,0.6000000000000001,4.800000000000001
8.0,8.0,20.011548407168384,53.48686039079134,109.85247277267942,0.5714285714285714,0.0,0.4,0.1666666666666666,0.4,3,685,0.4,4.800000000000001
0.0,0.0,17.91325261216724,49.08878213195248,109.36891377848214,0.0,0.4166666666666666,0.4,0.8888888888888888,0.5,3,685,0.4,4.800000000000001
0.0,0.0,106.56759651281425,124.9029080345133,0.544768993462762,1.0,0.6666666666666666,0.6000000000000001,0.2222222222222222,0.6,2,304,0.6000000000000001,4.800000000000001
0.0,0.0,124.430389239148,120.98438607556965,3.5078894124507753,0.1428571428571428,0.9166666666666666,0.6000000000000001,0.7777777777777778,0.0,2,297,0.6000000000000001,4.800000000000001
8.0,8.0,19.9114340752282,53.28182541527325,109.82965813658957,0.2857142857142857,0.4999999999999999,0.4,0.1111111111111111,0.4,3,685,0.4,4.800000000000001
0.0,0.0,119.85874396857041,122.5391210194598,2.7447120125180002,0.7142857142857142,0.25,0.2,0.2777777777777778,0.2,2,392,0.2,4.800000000000001
8.0,8.0,98.83325372948693,124.82536725289876,124.26937519058569,0.8571428571428572,0.7499999999999999,0.6000000000000001,0.0555555555555555,1.0,1,80,0.6000000000000001,4.800000000000001
0.0,0.0,1.2275729102506625,4.264476202667813,104.95261233147774,0.8571428571428572,0.0,0.2,0.1111111111111111,0.8,0,800,0.2,4.800000000000001
0.0,0.0,0.3887419365074475,1.3705409657095624,104.69080047098313,0.5714285714285714,0.1666666666666666,0.2,0.3888888888888889,0.2,0,800,0.2,4.800000000000001
0.0,0.0,19.440424949238924,52.310840910859746,109.7219841833362,1.0,0.25,0.8,0.1666666666666666,0.2,3,464,0.8,4.800000000000001
8.0,8.0,1.0801035541853126,3.761822151975588,104.90698305929804,0.4285714285714285,0.25,0.4,0.0555555555555555,0.8,0,686,0.4,4.800000000000001
