FlightDate,FlightTime,Airport,MinWaitTime,MaxWaitTime,BagNumber,MaxSpendingRange,DropOffRange
04/12/2025,15:29:44,LAX,0.25,4.75,2,15,1.0
04/14/2025,22:23:43,LAX,0.5,4.5,3,30,0.4
04/12/2025,10:57:58,LAX,1.75,2.0,3,15,0.2
04/12/2025,18:30:12,LAX,0.25,4.0,2,35,0.8
04/11/2025,14:44:07,ONT,1.0,3.75,3,40,0.6
04/14/2025,19:37:48,LAX,0.75,4.75,1,20,0.1
04/11/2025,19:43:15,LAX,1.0,5.0,3,10,0.8
04/18/2025,05:19:14,ONT,0.5,3.25,2,85,0.3
04/16/2025,06:40:22,ONT,0.25,4.75,3,10,0.3
04/11/2025,06:13:25,ONT,0.5,4.0,2,35,0.4
04/16/2025,23:20:27,ONT,1.0,4.75,0,35,0.2
04/13/2025,15:39:41,LAX,1.25,2.25,0,45,0.4
04/12/2025,05:03:04,ONT,1.25,3.75,1,20,0.5
04/12/2025,11:32:23,LAX,1.5,3.25,1,20,0.6
04/14/2025,06:46:23,LAX,0.75,4.0,2,15,0.5
04/17/2025,00:30:58,ONT,1.75,3.0,2,90,0.0
04/16/2025,14:08:52,LAX,1.5,5.0,2,55,0.1
04/14/2025,22:14:47,LAX,1.5,3.5,0,15,0.8
04/15/2025,03:58:23,ONT,1.0,4.5,3,35,0.9
04/12/2025,23:18:36,ONT,0.75,3.0,1,35,0.3
04/14/2025,17:13:41,ONT,1.75,4.25,3,15,1.0
04/12/2025,01:10:20,LAX,2.0,2.25,3,45,0.4
04/16/2025,01:42:52,LAX,0.75,5.0,1,30,0.1
04/15/2025,18:56:52,LAX,1.75,3.5,1,25,0.7
04/15/2025,07:48:39,ONT,0.25,4.5,3,35,0.5
04/14/2025,20:07:27,ONT,1.5,2.25,1,15,1.0
04/12/2025,00:47:53,ONT,0.25,4.75,2,60,1.0
04/13/2025,02:50:43,LAX,0.5,4.5,1,35,1.0
04/13/2025,12:57:29,LAX,0.75,3.25,3,80,0.3
04/14/2025,06:43:32,LAX,1.5,3.75,2,20,0.6
04/14/2025,04:18:31,ONT,1.0,2.0,1,30,0.8
04/12/2025,00:29:48,LAX,0.5,4.75,3,10,0.5
04/15/2025,00:07:09,LAX,0.75,4.5,3,30,0.0
04/12/2025,00:09:58,LAX,1.25,4.0,2,70,0.4
04/15/2025,20:40:23,LAX,1.0,4.75,0,35,0.9
04/17/2025,11:37:12,ONT,2.0,4.0,3,15,1.0
04/17/2025,02:13:21,LAX,0.5,3.25,3,30,1.0
04/13/2025,23:02:20,LAX,1.0,2.0,3,35,0.4
04/17/2025,11:28:30,LAX,1.0,2.25,1,65,0.8
04/16/2025,18:56:56,LAX,1.0,3.0,2,15,0.9
04/15/2025,05:55:40,LAX,2.0,2.75,3,100,0.6
04/17/2025,09:39:59,ONT,1.0,2.25,2,25,0.2
04/12/2025,08:15:22,ONT,1.75,3.5,2,35,0.1
04/13/2025,05:44:38,LAX,0.5,2.0,2,20,0.2
04/16/2025,19:50:50,LAX,1.0,2.75,1,25,1.0
04/16/2025,04:46:09,LAX,1.75,2.5,2,15,0.1
04/17/2025,05:00:04,LAX,2.0,5.0,2,80,0.9
04/18/2025,08:41:44,LAX,0.25,4.5,2,40,0.4
04/12/2025,00:04:27,LAX,1.0,2.5,1,25,1.0
04/14/2025,15:00:01,LAX,1.75,2.0,3,10,0.8
04/15/2025,15:27:48,ONT,1.25,5.0,1,60,1.0
04/16/2025,00:46:29,ONT,2.0,2.5,5,15,0.4
04/11/2025,16:41:29,LAX,0.25,4.75,1,10,0.7
04/17/2025,16:09:27,ONT,0.75,2.0,3,45,0.4
04/17/2025,20:31:42,LAX,0.5,4.25,2,40,0.2
04/15/2025,04:13:07,LAX,1.75,2.25,2,85,1.0
04/13/2025,20:10:38,LAX,0.25,4.25,2,35,0.8
04/13/2025,08:07:13,ONT,1.25,2.75,2,20,0.5
04/11/2025,20:21:46,LAX,1.25,3.5,2,35,0.8
04/17/2025,02:19:45,ONT,2.0,3.25,3,45,0.5
04/15/2025,11:55:02,LAX,2.0,4.25,2,45,0.1
04/14/2025,17:42:37,LAX,1.0,4.0,2,20,0.4
04/18/2025,12:24:35,LAX,1.0,3.25,2,25,0.3
04/17/2025,06:52:20,ONT,0.25,4.5,4,60,0.1
04/12/2025,04:29:34,LAX,0.75,3.0,2,10,0.8
04/17/2025,10:37:12,LAX,1.25,3.0,2,35,1.0
04/14/2025,09:40:17,ONT,1.0,4.5,2,20,0.2
04/16/2025,06:32:48,ONT,1.25,2.0,3,25,0.9
04/13/2025,10:37:39,ONT,0.25,2.0,3,15,0.8
04/16/2025,20:52:44,ONT,0.75,4.75,2,35,0.4
