FlightDate,FlightTime,Airport,MinWaitTime,MaxWaitTime,BagNumber,MaxSpendingRange,DropOffRange,FlightDateTime,ElapsedTime
2025-01-18,15:29:44,LAX,0.25,4.75,0.2,0.0555555555555555,1.0,2025-01-18 15:29:00,447323
2024-03-16,22:23:43,LAX,0.5,4.25,0.8,0.0,0.4,2024-03-16 22:23:00,4217
2025-01-18,10:57:58,LAX,1.0,4.0,0.4,0.2222222222222222,0.2,2025-01-18 10:57:00,447051
2024-03-15,18:30:12,ONT,1.0,3.75,0.8,0.3333333333333333,0.8,2024-03-15 18:30:00,2544
2024-12-11,14:44:07,LAX,1.75,3.25,0.4,0.0555555555555555,0.6,2024-12-11 14:44:00,392558
2024-12-11,19:37:48,LAX,0.5,3.5,0.8,0.3333333333333333,0.1,2024-12-11 19:37:00,392851
2024-11-30,13:19:21,ONT,0.25,4.75,0.2,0.0,0.8,2024-11-30 13:19:00,376633
2024-12-11,18:20:08,LAX,1.25,4.5,0.2,0.3333333333333333,0.8,2024-12-11 18:20:00,392774
2024-12-13,14:15:23,LAX,0.5,2.0,0.0,0.3333333333333333,1.0,2024-12-13 14:15:00,395409
2024-12-11,03:37:57,LAX,1.0,2.25,0.6000000000000001,0.1666666666666666,0.6,2024-12-11 03:37:00,391891
2024-03-17,12:04:21,LAX,1.5,3.25,0.6000000000000001,0.1111111111111111,0.9,2024-03-17 12:04:00,5038
2025-01-18,08:22:21,LAX,1.0,2.5,0.2,0.1111111111111111,0.0,2025-01-18 08:22:00,446896
2024-12-12,12:42:44,ONT,0.25,2.75,0.2,1.0,0.6,2024-12-12 12:42:00,393876
2024-12-11,17:59:19,ONT,1.25,2.25,0.4,0.2222222222222222,0.2,2024-12-11 17:59:00,392753
2024-11-30,05:03:04,LAX,2.0,3.5,0.2,0.8888888888888888,0.5,2024-11-30 05:03:00,376137
2024-12-11,11:32:23,LAX,1.25,2.5,0.4,0.2222222222222222,0.6,2024-12-11 11:32:00,392366
2024-11-30,16:50:27,ONT,1.75,3.25,0.4,0.0555555555555555,0.5,2024-11-30 16:50:00,376844
2024-11-30,00:30:58,LAX,0.25,2.25,0.2,0.0555555555555555,0.0,2024-11-30 00:30:00,375864
2024-12-13,12:33:13,LAX,1.75,3.5,0.2,0.1666666666666666,0.1,2024-12-13 12:33:00,395307
2024-12-12,23:39:12,LAX,0.5,4.5,0.6000000000000001,1.0,0.1,2024-12-12 23:39:00,394533
2024-03-21,11:41:44,ONT,0.5,3.0,0.4,0.1666666666666666,1.0,2024-03-21 11:41:00,10775
2024-12-11,05:28:24,ONT,0.75,4.0,0.4,0.8888888888888888,0.9,2024-12-11 05:28:00,392002
2024-03-14,18:56:12,LAX,0.75,3.25,0.4,0.7777777777777778,0.1,2024-03-14 18:56:00,1130
2024-12-13,18:38:30,ONT,2.0,2.0,0.2,0.1111111111111111,0.3,2024-12-13 18:38:00,395672
2024-03-16,09:42:00,LAX,0.25,2.75,0.4,0.3888888888888889,0.1,2024-03-16 09:42:00,3456
2025-01-18,13:46:49,ONT,0.5,5.0,0.4,0.0555555555555555,0.6,2025-01-18 13:46:00,447220
2024-11-30,18:56:52,ONT,0.75,3.0,0.2,0.2222222222222222,1.0,2024-11-30 18:56:00,376970
2024-12-12,07:48:39,LAX,1.0,4.75,0.4,0.2777777777777778,0.5,2024-12-12 07:48:00,393582
2024-12-11,20:07:27,ONT,2.0,2.25,0.0,0.0,1.0,2024-12-11 20:07:00,392881
2024-03-21,17:15:23,LAX,1.0,4.25,0.2,0.0,1.0,2024-03-21 17:15:00,11109
2025-01-19,16:10:40,LAX,0.5,2.0,0.2,0.3888888888888889,0.9,2025-01-19 16:10:00,448804
2024-11-30,09:23:03,ONT,2.0,2.75,0.4,0.2777777777777778,0.8,2024-11-30 09:23:00,376397
2024-03-18,14:08:57,LAX,2.0,5.0,0.2,0.0,0.7,2024-03-18 14:08:00,6602
2024-03-22,01:27:56,ONT,1.5,3.5,1.0,0.3333333333333333,1.0,2024-03-22 01:27:00,11601
2024-03-22,02:11:11,LAX,0.25,3.5,0.6000000000000001,0.3333333333333333,0.3,2024-03-22 02:11:00,11645
2024-11-30,20:32:17,LAX,1.0,2.75,0.6000000000000001,0.0555555555555555,0.0,2024-11-30 20:32:00,377066
2024-11-30,17:39:27,LAX,1.25,3.75,0.2,0.0,0.5,2024-11-30 17:39:00,376893
2024-03-16,08:04:47,LAX,0.25,4.5,0.4,0.3333333333333333,0.1,2024-03-16 08:04:00,3358
2024-11-30,00:23:38,LAX,0.75,3.5,0.6000000000000001,0.0555555555555555,0.5,2024-11-30 00:23:00,375857
2024-12-12,04:04:41,LAX,0.75,3.5,0.2,0.1666666666666666,0.7,2024-12-12 04:04:00,393358
2024-11-30,15:10:39,ONT,1.25,3.5,0.6000000000000001,0.2777777777777778,0.7,2024-11-30 15:10:00,376744
2024-03-16,19:14:20,LAX,1.0,3.0,0.6000000000000001,0.0,0.2,2024-03-16 19:14:00,4028
